	id	name	popularity	duration_ms	explicit	artists	id_artists	release_date	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	time_signature
530467	43x0i2PPXrmOGTTgoyqGNZ	For You	49	285067	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-06-17	0.5539999999999999	0.8140000000000001	4	-4.312	1	0.21100000000000002	0.47700000000000004	0.0	0.111	0.5720000000000001	166.06400000000002	4
531264	72axIDDOCa3uaXZEIQZhnR	MIC Drop	64	238193	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2018-08-24	0.667	0.889	6	-4.851	1	0.0918	0.00912	0.0	0.0816	0.541	169.959	4
559641	6h53Ks7v6dUVJBTDTkXZ2t	Like	53	231893	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-06-12	0.738	0.7290000000000001	0	-4.173	0	0.071	0.3	0.0	0.257	0.764	100.95	4
559644	0MZBOuIh4UZZDu9edh6tfJ	No More Dream	52	222053	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-06-12	0.435	0.8590000000000001	2	-5.193	1	0.46799999999999997	0.0131	5.74e-06	0.435	0.6409999999999999	167.873	4
559649	4dtUOhLeJl9tQ5gYwbt6Ir	We Are Bulletproof, Pt. 2	51	223907	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-06-12	0.755	0.956	8	-5.1160000000000005	0	0.15	0.0104	1.06e-05	0.14400000000000002	0.883	144.091	4
559703	0Tb8sBQ9fseZbDRzRSxTdi	Coffee	44	261453	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.652	0.794	0	-6.604	1	0.0957	0.00808	0.0	0.298	0.545	92.045	4
559727	3PbsbZhmmnP6avCGm90ovX	N.O	43	209733	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.601	0.9159999999999999	7	-3.827	1	0.171	0.0397	0.0	0.557	0.516	146.96200000000002	4
559746	6bCoSWW1zyQrwQDSMEmsVy	Attack on Bangtan	41	247160	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.722	0.961	11	-2.548	0	0.267	0.203	0.0	0.121	0.6779999999999999	118.016	4
559878	6XlwoLi2qTcgal7gnKskTU	Outro: Luv In Skool	37	87053	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.7040000000000001	0.39299999999999996	5	-6.574	1	0.0461	0.0513	0.0	0.10800000000000001	0.425	132.032	4
559938	4DHWpbu7t1IAJHbAjWOI3T	Paldo Gangsan	35	205400	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.5579999999999999	0.9440000000000001	11	-3.1060000000000003	0	0.239	0.10099999999999999	0.0	0.0995	0.851	105.169	4
559954	7gSh8RNHaEciG0QUqlx2fN	We On	35	231493	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.8009999999999999	0.797	5	-4.332	1	0.149	0.0432	2.72e-06	0.11800000000000001	0.833	96.98700000000001	4
560009	06uGjA3zCQNxUIGa5dIcdQ	If I Ruled the World	34	248587	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.745	0.7440000000000001	7	-6.295	1	0.121	0.0424	0.0	0.251	0.6890000000000001	95.993	4
560201	6VyHPy4UjMLKoLNw5RKwAL	いいね!Pt.2 ~あの場所で~	41	235467	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-12-24	0.684	0.7170000000000001	11	-5.765	0	0.151	0.478	0.0	0.36700000000000005	0.861	95.039	4
560256	2GZko6NsLQZnUzY5RSODBt	MISS RIGHT -Japanese Ver.-	40	242093	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-11-19	0.693	0.8059999999999999	1	-4.975	1	0.256	0.42	0.0	0.106	0.873	92.96600000000001	4
560262	12ZzMA3m2ingQEzmbw3kNR	いいね!	40	232467	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-12-24	0.7659999999999999	0.674	0	-5.553999999999999	0	0.0897	0.22699999999999998	0.0	0.124	0.769	101.00299999999999	4
560323	2OpqoTggpAe1JQt7JjMahT	JUST ONE DAY - Japanese Ver.	38	241040	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-07-16	0.6940000000000001	0.579	9	-7.567	1	0.23199999999999998	0.0615	0.0	0.0901	0.34	94.93700000000001	4
560350	5dK6OtqmHEVjaSm0RsiJ4Q	JUMP -Japanese Ver.-	37	237200	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-12-24	0.489	0.9690000000000001	7	-2.9160000000000004	0	0.35700000000000004	0.0361	0.0	0.5920000000000001	0.698	102.07	4
560404	4tRMWHkeoOoraTGe4r9LKZ	BOY IN LUV -Japanese Ver.-	36	232507	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-12-24	0.527	0.902	4	-5.013	0	0.154	0.00105	0.0	0.172	0.542	82.70299999999999	4
